method,k,window_start_s,window_end_s,evaluated_bits,bit_errors,BER
RKF5,0.1,0.0,0.4,28,10,0.35714285714285715
RKF5,0.1,0.4,1.92,104,48,0.46153846153846156
RKF5,0.1,1.8199999999999998,1.92,6,3,0.5
RKF5,0.1,0.0,1.92,132,58,0.4393939393939394
RKF5,1.0,0.0,0.4,28,10,0.35714285714285715
RKF5,1.0,0.4,1.92,104,48,0.46153846153846156
RKF5,1.0,1.8199999999999998,1.92,6,5,0.8333333333333334
RKF5,1.0,0.0,1.92,132,58,0.4393939393939394
RKF5,10.0,0.0,0.4,28,10,0.35714285714285715
RKF5,10.0,0.4,1.92,104,15,0.14423076923076922
RKF5,10.0,1.8199999999999998,1.92,6,1,0.16666666666666666
RKF5,10.0,0.0,1.92,132,25,0.1893939393939394
RKF5,25.0,0.0,0.4,28,14,0.5
RKF5,25.0,0.4,1.92,104,3,0.028846153846153848
RKF5,25.0,1.8199999999999998,1.92,6,0,0.0
RKF5,25.0,0.0,1.92,132,17,0.12878787878787878
RKF5,50.0,0.0,0.4,28,13,0.4642857142857143
RKF5,50.0,0.4,1.92,104,0,0.0
RKF5,50.0,1.8199999999999998,1.92,6,0,0.0
RKF5,50.0,0.0,1.92,132,13,0.09848484848484848
RKF5,75.0,0.0,0.4,28,13,0.4642857142857143
RKF5,75.0,0.4,1.92,104,0,0.0
RKF5,75.0,1.8199999999999998,1.92,6,0,0.0
RKF5,75.0,0.0,1.92,132,13,0.09848484848484848
RKF5,100.0,0.0,0.4,28,11,0.39285714285714285
RKF5,100.0,0.4,1.92,104,0,0.0
RKF5,100.0,1.8199999999999998,1.92,6,0,0.0
RKF5,100.0,0.0,1.92,132,11,0.08333333333333333
RKF5,125.0,0.0,0.4,28,10,0.35714285714285715
RKF5,125.0,0.4,1.92,104,0,0.0
RKF5,125.0,1.8199999999999998,1.92,6,0,0.0
RKF5,125.0,0.0,1.92,132,10,0.07575757575757576
RKF5,150.0,0.0,0.4,28,10,0.35714285714285715
RKF5,150.0,0.4,1.92,104,0,0.0
RKF5,150.0,1.8199999999999998,1.92,6,0,0.0
RKF5,150.0,0.0,1.92,132,10,0.07575757575757576
RKF5,200.0,0.0,0.4,28,7,0.25
RKF5,200.0,0.4,1.92,104,0,0.0
RKF5,200.0,1.8199999999999998,1.92,6,0,0.0
RKF5,200.0,0.0,1.92,132,7,0.05303030303030303
RKF5,1000.0,0.0,0.4,28,3,0.10714285714285714
RKF5,1000.0,0.4,1.92,104,0,0.0
RKF5,1000.0,1.8199999999999998,1.92,6,0,0.0
RKF5,1000.0,0.0,1.92,132,3,0.022727272727272728
