method,k,window_start_s,window_end_s,evaluated_bits,bit_errors,BER
Euler,0.1,0.0,0.4,28,10,0.35714285714285715
Euler,0.1,0.4,1.92,104,48,0.46153846153846156
Euler,0.1,1.8199999999999998,1.92,6,1,0.16666666666666666
Euler,0.1,0.0,1.92,132,58,0.4393939393939394
Euler,1.0,0.0,0.4,28,10,0.35714285714285715
Euler,1.0,0.4,1.92,104,61,0.5865384615384616
Euler,1.0,1.8199999999999998,1.92,6,3,0.5
Euler,1.0,0.0,1.92,132,71,0.5378787878787878
Euler,10.0,0.0,0.4,28,10,0.35714285714285715
Euler,10.0,0.4,1.92,104,21,0.20192307692307693
Euler,10.0,1.8199999999999998,1.92,6,0,0.0
Euler,10.0,0.0,1.92,132,31,0.23484848484848486
Euler,25.0,0.0,0.4,28,13,0.4642857142857143
Euler,25.0,0.4,1.92,104,5,0.04807692307692308
Euler,25.0,1.8199999999999998,1.92,6,0,0.0
Euler,25.0,0.0,1.92,132,18,0.13636363636363635
Euler,50.0,0.0,0.4,28,13,0.4642857142857143
Euler,50.0,0.4,1.92,104,0,0.0
Euler,50.0,1.8199999999999998,1.92,6,0,0.0
Euler,50.0,0.0,1.92,132,13,0.09848484848484848
Euler,75.0,0.0,0.4,28,13,0.4642857142857143
Euler,75.0,0.4,1.92,104,0,0.0
Euler,75.0,1.8199999999999998,1.92,6,0,0.0
Euler,75.0,0.0,1.92,132,13,0.09848484848484848
Euler,100.0,0.0,0.4,28,11,0.39285714285714285
Euler,100.0,0.4,1.92,104,0,0.0
Euler,100.0,1.8199999999999998,1.92,6,0,0.0
Euler,100.0,0.0,1.92,132,11,0.08333333333333333
Euler,125.0,0.0,0.4,28,11,0.39285714285714285
Euler,125.0,0.4,1.92,104,0,0.0
Euler,125.0,1.8199999999999998,1.92,6,0,0.0
Euler,125.0,0.0,1.92,132,11,0.08333333333333333
Euler,150.0,0.0,0.4,28,10,0.35714285714285715
Euler,150.0,0.4,1.92,104,0,0.0
Euler,150.0,1.8199999999999998,1.92,6,0,0.0
Euler,150.0,0.0,1.92,132,10,0.07575757575757576
Euler,200.0,0.0,0.4,28,7,0.25
Euler,200.0,0.4,1.92,104,0,0.0
Euler,200.0,1.8199999999999998,1.92,6,0,0.0
Euler,200.0,0.0,1.92,132,7,0.05303030303030303
Euler,1000.0,0.0,0.4,28,3,0.10714285714285714
Euler,1000.0,0.4,1.92,104,0,0.0
Euler,1000.0,1.8199999999999998,1.92,6,0,0.0
Euler,1000.0,0.0,1.92,132,3,0.022727272727272728
