method,k,mean_ST_s,mean_RMSE_e,mean_SSE_e,E_res_no_msg,E_res_msg,E_res_abs_diff,max_abs_u,RMSE_m,BER_0_Teval,BER_final_window,BER_total_valid,settled_states
Euler,0.1,0.058001388888888894,0.6827833941498677,0.5585693160251998,186.89714356342316,186.89714356342316,0.0,8.582120777792522,91.72858833982839,0.4393939393939394,0.16666666666666666,0.44360902255639095,3
Euler,1.0,0.51808125,0.8740232358883798,0.7570956052017024,76.31017325862176,76.31017325862176,0.0,73.45790670482899,38.24158632784395,0.5378787878787878,0.5,0.5413533834586466,4
Euler,10.0,0.4718090277777778,0.4780565769822182,0.3032063715149854,3.1376930143753494,3.1376930143753494,0.0,415.9711562200028,1.0085759169637265,0.23484848484848486,0.0,0.23308270676691728,6
Euler,25.0,0.3916993055555556,0.44452349964507293,0.25760483285131935,2.9858457982420648,2.9858457982420648,0.0,621.4946668702823,0.9665939922911772,0.13636363636363635,0.0,0.13533834586466165,6
Euler,50.0,0.3871104166666666,0.47492767758309745,0.26246013359519704,2.9770042186401953,2.9770042186401953,0.0,744.2255897027136,0.9526463250251986,0.09848484848484848,0.0,0.09774436090225563,6
Euler,75.0,0.4007923611111112,0.46441277497464145,0.2601355237370976,2.9942054183308158,2.9942054183308158,0.0,1057.788165182295,0.9481916457591312,0.09848484848484848,0.0,0.09774436090225563,6
Euler,100.0,0.38487083333333333,0.4729891488184575,0.2634927619610587,3.0028436456505005,3.0028436456505005,0.0,1410.3842202430599,0.9460143967130179,0.08333333333333333,0.0,0.08270676691729323,6
Euler,125.0,0.36939583333333337,0.4986974118058904,0.2719998794751575,3.0080494896706993,3.0080494896706993,0.0,1762.9802753038248,0.9447252110458606,0.08333333333333333,0.0,0.08270676691729323,6
Euler,150.0,0.3866125,0.48810793794523594,0.2707098401295292,3.0115346167331,3.0115346167331,0.0,2115.57633036459,0.943872889592092,0.07575757575757576,0.0,0.07518796992481203,6
Euler,200.0,0.3864659722222223,0.4515822916536005,0.25537934129772255,3.0159263222342174,3.0159263222342174,0.0,2820.7684404861197,0.9428153561323691,0.05303030303030303,0.0,0.05263157894736842,6
Euler,1000.0,0.3831854166666668,0.37521956877665935,0.2145194806153767,3.0273979958992734,3.0273979958992734,0.0,14103.842202430598,0.9403160274431485,0.022727272727272728,0.0,0.022556390977443608,6
