bit_index,bit
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,0
